,p,r,f,acc
0,0.6619047619047619,0.661764705882353,0.6616915422885572,0.6617647058823529
count,1.0,1.0,1.0,1.0
mean,0.6619047619047619,0.661764705882353,0.6616915422885572,0.6617647058823529
std,,,,
min,0.6619047619047619,0.661764705882353,0.6616915422885572,0.6617647058823529
25%,0.6619047619047619,0.661764705882353,0.6616915422885572,0.6617647058823529
50%,0.6619047619047619,0.661764705882353,0.6616915422885572,0.6617647058823529
75%,0.6619047619047619,0.661764705882353,0.6616915422885572,0.6617647058823529
max,0.6619047619047619,0.661764705882353,0.6616915422885572,0.6617647058823529
