,p,r,f,acc
0,0.5612980769230769,0.5441176470588236,0.5097674418604652,0.5441176470588235
count,1.0,1.0,1.0,1.0
mean,0.5612980769230769,0.5441176470588236,0.5097674418604652,0.5441176470588235
std,,,,
min,0.5612980769230769,0.5441176470588236,0.5097674418604652,0.5441176470588235
25%,0.5612980769230769,0.5441176470588236,0.5097674418604652,0.5441176470588235
50%,0.5612980769230769,0.5441176470588236,0.5097674418604652,0.5441176470588235
75%,0.5612980769230769,0.5441176470588236,0.5097674418604652,0.5441176470588235
max,0.5612980769230769,0.5441176470588236,0.5097674418604652,0.5441176470588235
