,p,r,f,acc
0,0.6448863636363636,0.6323529411764706,0.6242263483642794,0.6323529411764706
count,1.0,1.0,1.0,1.0
mean,0.6448863636363636,0.6323529411764706,0.6242263483642794,0.6323529411764706
std,,,,
min,0.6448863636363636,0.6323529411764706,0.6242263483642794,0.6323529411764706
25%,0.6448863636363636,0.6323529411764706,0.6242263483642794,0.6323529411764706
50%,0.6448863636363636,0.6323529411764706,0.6242263483642794,0.6323529411764706
75%,0.6448863636363636,0.6323529411764706,0.6242263483642794,0.6323529411764706
max,0.6448863636363636,0.6323529411764706,0.6242263483642794,0.6323529411764706
