,p,r,f,acc
0,0.6552511415525114,0.6544117647058824,0.6539440203562341,0.6544117647058824
count,1.0,1.0,1.0,1.0
mean,0.6552511415525114,0.6544117647058824,0.6539440203562341,0.6544117647058824
std,,,,
min,0.6552511415525114,0.6544117647058824,0.6539440203562341,0.6544117647058824
25%,0.6552511415525114,0.6544117647058824,0.6539440203562341,0.6544117647058824
50%,0.6552511415525114,0.6544117647058824,0.6539440203562341,0.6544117647058824
75%,0.6552511415525114,0.6544117647058824,0.6539440203562341,0.6544117647058824
max,0.6552511415525114,0.6544117647058824,0.6539440203562341,0.6544117647058824
