,p,r,f,acc
0,0.661540385096274,0.6397058823529411,0.627105366235801,0.6397058823529411
count,1.0,1.0,1.0,1.0
mean,0.661540385096274,0.6397058823529411,0.627105366235801,0.6397058823529411
std,,,,
min,0.661540385096274,0.6397058823529411,0.627105366235801,0.6397058823529411
25%,0.661540385096274,0.6397058823529411,0.627105366235801,0.6397058823529411
50%,0.661540385096274,0.6397058823529411,0.627105366235801,0.6397058823529411
75%,0.661540385096274,0.6397058823529411,0.627105366235801,0.6397058823529411
max,0.661540385096274,0.6397058823529411,0.627105366235801,0.6397058823529411
