,p,r,f,acc
0,0.6475694444444444,0.6470588235294118,0.6467532467532467,0.6470588235294118
count,1.0,1.0,1.0,1.0
mean,0.6475694444444444,0.6470588235294118,0.6467532467532467,0.6470588235294118
std,,,,
min,0.6475694444444444,0.6470588235294118,0.6467532467532467,0.6470588235294118
25%,0.6475694444444444,0.6470588235294118,0.6467532467532467,0.6470588235294118
50%,0.6475694444444444,0.6470588235294118,0.6467532467532467,0.6470588235294118
75%,0.6475694444444444,0.6470588235294118,0.6467532467532467,0.6470588235294118
max,0.6475694444444444,0.6470588235294118,0.6467532467532467,0.6470588235294118
