,p,r,f,acc
0,0.6043859649122807,0.6029411764705882,0.6015625,0.6029411764705882
count,1.0,1.0,1.0,1.0
mean,0.6043859649122807,0.6029411764705882,0.6015625,0.6029411764705882
std,,,,
min,0.6043859649122807,0.6029411764705882,0.6015625,0.6029411764705882
25%,0.6043859649122807,0.6029411764705882,0.6015625,0.6029411764705882
50%,0.6043859649122807,0.6029411764705882,0.6015625,0.6029411764705882
75%,0.6043859649122807,0.6029411764705882,0.6015625,0.6029411764705882
max,0.6043859649122807,0.6029411764705882,0.6015625,0.6029411764705882
