,p,r,f,acc
0,0.7351778656126482,0.7058823529411764,0.6964285714285714,0.7058823529411765
count,1.0,1.0,1.0,1.0
mean,0.7351778656126482,0.7058823529411764,0.6964285714285714,0.7058823529411765
std,,,,
min,0.7351778656126482,0.7058823529411764,0.6964285714285714,0.7058823529411765
25%,0.7351778656126482,0.7058823529411764,0.6964285714285714,0.7058823529411765
50%,0.7351778656126482,0.7058823529411764,0.6964285714285714,0.7058823529411765
75%,0.7351778656126482,0.7058823529411764,0.6964285714285714,0.7058823529411765
max,0.7351778656126482,0.7058823529411764,0.6964285714285714,0.7058823529411765
