,p,r,f,acc
0,0.6333914559721011,0.6323529411764706,0.6316359696641387,0.6323529411764706
count,1.0,1.0,1.0,1.0
mean,0.6333914559721011,0.6323529411764706,0.6316359696641387,0.6323529411764706
std,,,,
min,0.6333914559721011,0.6323529411764706,0.6316359696641387,0.6323529411764706
25%,0.6333914559721011,0.6323529411764706,0.6316359696641387,0.6323529411764706
50%,0.6333914559721011,0.6323529411764706,0.6316359696641387,0.6323529411764706
75%,0.6333914559721011,0.6323529411764706,0.6316359696641387,0.6323529411764706
max,0.6333914559721011,0.6323529411764706,0.6316359696641387,0.6323529411764706
