Model,precision,recall,f1_score,Loss,best_epoch
mag_bert,"(25.0, 0.0)","(50.0, 0.0)","(33.33, 0.0)","(101.56, 0.0)",[1]
mag_bert,[25.0],[50.0],[33.33],[101.56],[1]
mag_bert,"(25.0, 0.0)","(50.0, 0.0)","(33.33, 0.0)","(100.75, 0.0)",[1]
mag_bert,[25.0],[50.0],[33.33],[100.75],[1]
